;id;;lat;;lng;
mark0;1307049;mark1;44.18586;mark2;0.98163;mark3
mark0;1309099;mark1;43.86687;mark2;1.5065;mark3
mark0;1347299;mark1;44.859;mark2;0.104;mark3
mark0;1364454;mark1;44.80601;mark2;0.07198;mark3
mark0;1367722;mark1;44.38321;mark2;1.59559;mark3
mark0;1398894;mark1;44.01721;mark2;1.36535;mark3
mark0;1419954;mark1;43.72641;mark2;0.87321;mark3
mark0;1420522;mark1;44.0708;mark2;0.98901;mark3
mark0;1447981;mark1;44.88473;mark2;-0.42026;mark3
mark0;1534013;mark1;44.02827;mark2;1.3449;mark3
mark0;1553979;mark1;45.01787;mark2;-0.45796;mark3
mark0;1560962;mark1;44.08824;mark2;0.64128;mark3
mark0;1569439;mark1;43.85907;mark2;1.75695;mark3
mark0;1573583;mark1;44.04127;mark2;0.90125;mark3
mark0;1581412;mark1;44.36438;mark2;1.61315;mark3
mark0;1590551;mark1;44.358;mark2;1.34;mark3
mark0;1591159;mark1;44.358;mark2;1.34;mark3
mark0;1596519;mark1;45.66032;mark2;0.14494;mark3
mark0;1599685;mark1;45.65748;mark2;0.14696;mark3
mark0;1620766;mark1;44.27347;mark2;0.85288;mark3
mark0;1622664;mark1;44.73526;mark2;1.15646;mark3
mark0;1625935;mark1;44.85149;mark2;0.02128;mark3
mark0;1640033;mark1;44.86409;mark2;-0.417;mark3
mark0;1679834;mark1;43.70178;mark2;1.81529;mark3
mark0;1680887;mark1;45.71002;mark2;0.00317;mark3
mark0;1681635;mark1;44.23642;mark2;0.89343;mark3
mark0;1701969;mark1;45.64978;mark2;0.14625;mark3
mark0;1706296;mark1;44.35536;mark2;1.09815;mark3
mark0;1713497;mark1;44.41;mark2;0.97;mark3
mark0;1719593;mark1;48.2394;mark2;-3.14404;mark3
mark0;1733585;mark1;48.242;mark2;-3.122;mark3
mark0;1743342;mark1;43.70178;mark2;1.81624;mark3
mark0;1745619;mark1;44.25581;mark2;1.14135;mark3
mark0;1756782;mark1;44.40769;mark2;1.54768;mark3
mark0;1757101;mark1;44.43726;mark2;1.25345;mark3
mark0;1794512;mark1;45.75024;mark2;0.00104;mark3
